map,Round,CT_EV,T_EV,Winside
de_mirage,1,4300,4200,T
de_mirage,2,7700,19600,T
de_mirage,3,2000,18000,T
de_mirage,4,22600,22300,T
de_mirage,5,4350,25000,T
de_mirage,6,28700,25700,CT
de_mirage,7,29750,24600,T
de_mirage,8,21200,23050,T
de_mirage,9,1600,22550,T
de_mirage,10,23100,25100,CT
de_mirage,11,21800,24500,T
de_mirage,12,15150,25100,T
de_mirage,13,6359,25000,T
de_mirage,14,22900,25400,T
de_mirage,15,16200,26300,T
de_mirage,16,4250,3450,CT
de_mirage,17,20850,9800,T
de_mirage,18,5550,24100,T
de_mirage,19,1000,24700,T
de_mirage,20,25500,26000,CT
de_mirage,21,26250,25000,T
de_mirage,22,5900,25500,T
de_mirage,23,1000,25600,T
de_mirage,24,26200,25700,T
de_mirage,25,8600,28050,T
de_mirage,26,29850,27500,CT
de_mirage,1,3600,4350,CT
de_mirage,2,16650,9000,CT
de_mirage,3,21800,2000,CT
de_mirage,4,27000,27350,CT
de_mirage,5,29500,21350,T
de_mirage,6,31950,23600,CT
de_mirage,7,31450,1400,CT
de_mirage,8,31450,23250,CT
de_mirage,9,33300,13800,CT
de_mirage,10,33500,6000,CT
de_mirage,11,33800,25200,CT
de_mirage,12,32500,22800,T
de_mirage,13,31000,27350,CT
de_mirage,14,31700,23000,T
de_mirage,15,22100,24500,CT
de_mirage,16,4450,4050,CT
de_mirage,17,20800,13200,CT
de_mirage,18,1000,21100,T
de_mirage,19,2000,25800,T
de_mirage,20,29050,26100,T
de_mirage,1,4300,1950,T
de_mirage,2,2000,17900,T
de_mirage,3,22050,18050,CT
de_mirage,4,26450,24450,T
de_mirage,5,8000,24250,T
de_mirage,6,5150,25550,CT
de_mirage,7,29850,25900,T
de_mirage,8,4900,27650,T
de_mirage,9,5000,27400,T
de_mirage,10,29850,27550,T
de_mirage,11,11050,25200,T
de_mirage,12,27900,29700,T
de_mirage,13,8000,27650,T
de_mirage,14,31300,23800,CT
de_mirage,15,13350,24750,T
de_mirage,16,4100,4350,CT
de_mirage,17,17750,3500,CT
de_mirage,18,22000,20100,T
de_mirage,19,19250,24600,T
de_mirage,20,24000,27250,CT
de_mirage,21,27400,17500,CT
